SNORD109B	25278343	25278409	15
HYMAI	144004916	144008262	6
DHCR7	71428193	71452868	11
DIO3	101561351	101563452	14
KLF14	130731235	130734061	7
BTNL2	32460601	32473766	CHR_HSCHR6_MHC_APD_CTG1
CTNNA3	65912518	67696169	10
EGFL7	136658856	136672678	9
CDH18	19472951	20575873	5
GNAS	58839718	58911192	20
ZIC1	147393422	147510293	3
TMEM88	7855065	7856099	17
PLAGL1	143940300	144064599	6
ZFAT	134477788	134713049	8
LILRB4	54592642	54600251	CHR_HSCHR19LRC_PGF1_CTG3_1
NLRP2	54998440	55034296	CHR_HSCHR19LRC_LRC_J_CTG3_1
TSPAN32	2301997	2318200	11
LMX1B	126614443	126701032	9
IGF2	2129112	2141238	11
NLRP2	54636119	54671975	CHR_HSCHR19LRC_COX2_CTG3_1
BTNL2	32393963	32407128	6
NLRP2	54909282	54945138	CHR_HSCHR19LRC_LRC_T_CTG3_1
SNORD64	159851906	159851972	1
NLRP2	54894717	54929555	CHR_HSCHR19LRC_PGF1_CTG3_1
BTNL2	32433363	32446554	CHR_HSCHR6_MHC_MANN_CTG1
SNORD109A	25041974	25042040	15
SDHD	112086773	112120013	11
ZNF229	44417519	44448578	19
FGFRL1	1009936	1026897	4
ATP10A	25677273	25865172	15
APBA1	69427530	69672306	9
CSF2	132073790	132076170	5
LRRTM1	80288351	80304749	2
HM13	31514428	31577923	20
NKAIN3	62248591	62999652	8
PTPN14	214348696	214552449	1
NLRP2	54972989	55008845	CHR_HSCHR19LRC_LRC_S_CTG3_1
DLK1	100725705	100738224	14
LIN28B	104936616	105083332	6
INS	2159779	2161341	11
RPL22	6181269	6209389	1
SNORD64	24985100	24985166	15
MIR298	58818226	58818313	20
DLX5	97020392	97025097	7
FBRSL1	132489551	132585188	12
SNORD115-48	25269783	25269858	15
HYMAI	144007227	144007464	6
SNORD107	24981994	24982068	15
ZNF225	44112181	44134816	19
RAB1B	66268533	66277492	11
SLC26A10	57619527	57626151	12
ZNF215	6926404	7001004	11
OSBPL5	3087116	3166739	11
RASGRF1	78959947	79090773	15
SLC22A18	2899745	2925175	CHR_HSCHR11_1_CTG7
BTNL2	32401346	32414522	CHR_HSCHR6_MHC_SSTO_CTG1
MIR296	58817615	58817694	20
LDB1	102107560	102120453	10
TH	2163929	2171877	11
C9orf116	135495181	135501734	9
ZFAT-AS1	134598071	134600689	8
VAX2	70900590	70933446	2
GABRG3	26971282	27541991	15
GPR1	206175316	206218047	2
ANO1	70078302	70189528	11
PEX10	2403964	2413797	1
USP29	57119138	57131926	19
FAM50B	3849386	3851317	6
CHMP2A	58551566	58555124	19
GATA3	8053604	8075198	10
OTX1	63050057	63057836	2
SPON2	1166932	1208962	4
HOXA4	27128507	27130799	7
GABRB3	26543546	26939539	15
HOXB3	48548870	48604912	17
IGF2R	159969099	160113507	6
KBTBD3	106051098	106077765	11
